"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"tnk_31","CREBRF","CNPY2","POLR2J3","TRIM56","ZNRF1","CTLA4","RBM26","CARS","CXCL13","PTPN18","ARID1B","BOD1L1","PURA","BRD7","MIAT","GLCCI1","UBALD2","SEL1L3","POLK","PPP1R35","CCL20","TBC1D2B","TNFSF13B","OAS1","SRGAP3","MAN1A1","YAF2","CD84","SUZ12","HEBP2","EPSTI1","GTF2H5","MAF","CEP85L","C19orf25","NCK2","CBX4","RASGRP1","EP300","S100PBP","WDR26","PLEKHO1","CPSF2","GPR155","PTPRA","DYNC1I2","COMMD3","GPR174","IER5","KLC1"
"tnk_32","CCR6","BCL3","ADAM19","ELL2","CD28","ZNF267","KLF3","SC5D","RELB","BAG3","AHR","NFKB2","ANKHD1","TNFRSF25","ADK","NR1D2","DENND4A","ETV3","ATXN7","MYBL1","TNFRSF4","AQP3","CRY1","TRAF1","ARRDC2","CD4","FBXO34","NDEL1","SPTY2D1","CCNT1","NFKB1","GNA13","ARHGEF7","MGAT5","ORAI1","MALT1","PNPLA8","SESN1","GOLGA8B","NUP98","CD83","RARA","ICAM2","ICOS","CCR7","TRAF4","PHTF2","SOD2","GNA15","MBNL2"
"tnk_33","KLRC3","CD160","RIN3","LAYN","AHI1","IRF4","DGKD","CHPT1","PAXBP1","SERTAD2","GPR35","KLRC2","LYN","HSH2D","PRKCA","AUTS2","CWC22","SLC16A3","METRNL","LATS1","RASGEF1B","XCL1","KIR2DL4","SKAP2","TXK","COQ10A","TRDV1","PLCG2","STAM","SSH1","RBKS","ZNF431","UAP1","TNFRSF9","FASLG","KANSL2","CHD7","USP53","SMIM10L1","CD83","RRBP1","SH2D1B","KDM3A","TMEM168","GPR15","DESI2","DENND4C","ATP8B4","SLAMF7","DUSP10"
"tnk_34","MYC","CFAP97","WWP2","YPEL2","GLCCI1","CEP85L","DAPK2","TTC7A","PGP","RAPGEF6","METAP1","TIFA","NRM","ASCC3","TESC","NCOA2","SUDS3","CHCHD5","NLRC3","NIPSNAP1","SMG7","IRF4","DZIP3","PSME4","FRAT2","KIFAP3","DESI2","NSD1","SUZ12","GRAMD1A","AUTS2","LRMP","CPNE3","STAMBP","CSTF2T","TCHP","STXBP2","CHD6","UBE2Q2","IL10RB","ETFDH","CKAP2","PHYH","CD84","MXD4","ATP11B","FKBP3","HADHB","ZNF106","RBM22"
"tnk_35","TYMS","SMC2","CKS1B","PCNA","MCM7","CCDC167","MCM5","STMN1","NUDT1","NME1","MKI67","USP1","NUSAP1","HELLS","PLEKHO1","LAT2","TOP2A","SKA2","CBX5","TMEM106C","NDFIP2","CDT1","BRD7","SMC4","DTYMK","CXXC5","CSF1","CENPF","MAD2L1","TIMM8B","POLR2J3","HAVCR2","DYNC1I2","MCM6","CARHSP1","RNPEPL1","CENPK","TSPAN5","YWHAH","EPSTI1","AKAP5","CNPY2","LMNB1","PHF19","KIF20B","TRIM56","TRDC","SRGAP3","ZNF683","XIST"
"tnk_36","GPR15","KLRC3","NR4A3","ELL2","TRGV4","HES4","LYN","IRF4","PTPRCAP","RBKS","IL21R","FBXO34","RELB","SLC1A4","PDE4A","SSH1","TRDV1","B3GNT7","UAP1","TNFRSF9","CD101","BCL3","ADAM28","GEM","STAM","AOAH","CDK17","MYO1E","THBS1","BACH1","MAP2K4","ATP8B4","PLPP1","ATP8A1","SYNGR1","PLCG2","SH2D1B","INSIG1","ASB2","CHN2","RAB22A","CCRL2","ZBTB1","ZNF410","RBM38","PELI1","DGKD","HIST1H1E","DUSP5","FBXO33"
"tnk_37","MS4A1","CD79A","VPREB3","IGHM","SMIM14","HLA.DQB1","CD79B","MEF2C","HLA.DQA1","BANK1","HLA.DRA","TNFRSF13C","MARCH1","POU2F2","BASP1","LY86","HLA.DMB","IRF8","KLF2","POLR2J3","HLA.DMA","ORAI2","PLAC8","BLK","ADAM28","IGLC3","NCF1","RNASE6","JCHAIN","TCF4","CD83","DRAM2","STX7","RALGPS2","FCMR","TNFRSF13B","LYL1","POU2AF1","CTSH","PRKCB","GNG7","SWAP70","IGHA1","SPIB","SELL","CD40","LYN","MDM4","CYBB","PKIG"
"tnk_38","IGHA1","IGKC","KLRB1","GPR183","JUND","HNRNPH1","ID2","ANXA1","RGCC","FOSB","SNHG8","DUSP2","CD48","NDUFA13","ARF6","N4BP2L2","MZT2A","COTL1","IER2","CKLF","PPP1CB","UXT","CLEC2D","ALOX5AP","ZFAS1","IKZF1","SEC61G","BTG2","ISG15","AAK1","BIRC3","IL2RG","HCST","STK17A","NDUFA3","KLF2","CDC42SE2","CREM","PIK3IP1","CRIP1","PPP1R2","CCNL1","STK4","FYN","ARL6IP4","ACAP1","TUBA1B","ARPC1B","POMP","EVI2B"
"tnk_39","FOXP3","IL2RA","LAIR2","TNFRSF9","EFHD2","LAYN","ENTPD1","ACP5","GADD45A","IL2RB","GBP5","TYMP","HTATIP2","EPSTI1","CXCR6","PTTG1","GBP2","TBC1D4","NAMPT","IL1R2","SLAMF1","TNFRSF1B","HLA.DPA1","DUSP4","HLA.DRB1","RAB11FIP1","MAGEH1","PPM1G","GLRX","RTKN2","LYST","IKZF2","CCND2","CD82","ZNRF1","GALM","PMAIP1","CD79B","PIM3","STAM","SERPINB9","TXNDC17","APOBEC3G","CASP1","SYNGR2","SEC14L1","TNIP2","TFRC","AC133644.2","FAS"
"tnk_40","TP53INP1","GLS","UTRN","ARAP2","PHACTR2","KAT6B","BOD1L1","GLCCI1","MXD4","SLC9A9","SLC4A7","TRAPPC10","RAB11FIP1","MIS18BP1","DDX39B","PRRC2B","STAG2","ZC3H7A","CLINT1","MALT1","PRDM2","XRN1","ATF7IP","NAB1","IQGAP2","KAT6A","SESN3","NCOA7","CHD3","ZC3H12D","RAB21","IGHG4","PNPLA8","DDX3Y","VPS13C","PRKDC","CNST","GPRIN3","CENPC","OTULIN","SEMA4D","HELZ","SESN1","BIRC6","MAP3K2","UBR5","IGHG3","PHF3","AHI1","NIPBL"
